"","X","data_1","data_2","data_3","data_4","data_5","data_6","data_7","data_8","data_9","data_10","data_11","data_12","data_13","data_14","data_15","data_16","data_17","data_18","data_19","data_20","data_21","data_22","data_23","data_24","data_25","data_26","data_27","data_28","data_29","data_30","data_31","data_32","data_33","data_34","data_35","data_36","data_37","data_38","data_39","data_40","data_41","data_42","data_43","data_44","data_45","data_46","data_47","data_48","data_49","data_50","data_51","data_52","data_53","data_54","data_55","data_56","data_57","data_58","data_59","data_60","data_61","data_62","data_63","data_64","data_65","data_66","data_67","data_68","data_69","data_70","data_71","data_72","data_73","data_74","data_75","data_76","data_78","data_79","data_80","data_81","data_82","data_83","data_84","data_85","data_86","data_87","data_88","data_89","data_90","data_91","data_92","data_93","data_94","data_95","data_96","data_97","data_98","data_99","data_100","data_101","data_102","data_103","data_104","data_105","data_106","data_107","data_108","data_109","data_110","data_111","data_112","data_113","data_114","data_115","data_116","data_117","data_118","data_119","data_120","data_121","data_122","data_123","data_124","data_125","data_126","data_127","data_128","data_129","data_130","data_131","data_132","data_133","data_134","data_135","data_136","data_137","data_139","data_140","data_141","data_142","data_143","data_144","data_145","data_146","data_147","data_148","data_149","data_150","data_151","data_152","data_153","data_154","data_155","data_156","data_157","data_158","data_159","data_160","data_161","data_162","data_163","data_164","data_165","data_166","data_167","data_168","data_169","data_170","data_171","data_172","data_173","data_174","data_175","data_176","data_177","data_178","data_179","data_180","data_181","data_182","data_183","data_184","data_185","data_186","data_187","data_188","data_189","data_190","data_191","data_192","data_193","data_194","data_195","data_196","data_197","data_198","data_199","data_200","data_201","data_202","data_203","data_204","data_205","data_206","data_207","data_208","data_209","data_210","data_211","data_212","data_213","data_214","data_215","data_216","data_217","data_218","data_219","data_220","data_221","data_222","data_223","data_224","data_225","data_226","data_227","data_228","data_229","data_230","data_231","data_232","data_233","data_234","data_235","data_236","data_237","data_238","data_239","data_240","data_241","data_242","data_243","data_244","data_245","data_246","data_247","data_248","data_249","data_250","data_251","data_252","data_253","data_255","data_256","data_257","data_258","data_260","data_261","data_262","data_264","data_266","data_267","data_268","data_269","data_270","data_271","data_272","data_273","data_274","data_275","data_276","data_277","data_278","data_279","data_280","data_281","data_282","data_284","data_285","data_286","data_287","data_288","data_289","data_290","data_291","data_292","data_293","data_294","data_295","data_296","data_297","data_298","data_299","data_300","data_301","data_302","data_303","data_304","data_305"
"127",127,764767,1050711,1428018,4227099,881482,429591,553675,475321,334100,515048,321140,607057,484797,485583,509217,442635,480813,629253,687385,742316,743014,421432,614944,749800,861658,1014561,671773,488336,489804,475966,656491,661600,597043,540501,496581,610571,759522,509734,883512,772379,872884,689700,602115,697465,649251,871029,633708,877471,798101,742519,876966,685952,802652,798608,922414,797170,574456,847541,819244,903864,1194592,835063,1416808,1137559,1859516,1342003,1306818,469365,820821,308994,204198,323417,217273,532841,3223911,473520,543100,422600,627914,635676,365512,525283,544288,465155,597220,629106,429923,610728,677928,396043,543608,711868,549642,542303,783122,482407,606400,508192,797124,754803,880993,483775,555813,847253,828291,729061,737846,762849,774393,585023,922849,675791,694172,553694,726466,502472,458620,759773,609256,666057,469537,811046,650582,559511,972624,663828,803518,523149,679806,728346,454203,778402,614286,603482,764622,817149,737597,636623,670677,641974,695595,802077,824710,773304,746942,732038,827325,824446,929802,589894,735853,654042,624402,1109025,700435,878366,790817,814073,684258,900013,1028117,1186358,732371,738362,1016865,657323,1072267,1074829,737903,748458,961691,786122,948282,1240033,983838,1025091,1143274,923134,750304,1022384,988395,1157541,769519,676601,844763,988545,608053,858465,922196,924272,884369,1019704,901618,979618,679015,651374,814417,1062142,919522,1047177,931101,895180,879733,881687,994083,1105637,989549,837909,1095308,1014860,1014402,1124771,1065394,490110,959877,1061735,1136098,942356,1288540,1312182,1319682,1200236,542014,939078,1016212,1085122,1067239,1387890,801287,894732,1071119,538165,1049908,984076,1613663,932302,1078828,1145581,1072723,1046765,1545365,505833,1179222,1208544,906507,995265,1342505,1354114,1752944,1081358,1275487,1965931,1822046,1544700,1270532,1204284,1524584,2718447,506069,2422927,2628202,2048744,3076994,853702,482519,638620,657582,466714,719936,562732,605521,567124,622396,696567,708961,945530,876356,915941,785215,913728,900630,818594,1312824,906764,1396392,833329,938506,632280,1507899,1233290,2365568,483390,689434,1169309,697440,755796,693355,1084513
"128",128,768366,1054999,1441094,4240179,887186,431191,555793,478506,335813,517896,322168,610206,488103,488396,511662,445346,484513,631894,690353,744476,746799,423612,617871,755125,869398,1018769,674512,490350,492089,479518,660687,664091,600133,545279,499028,614303,764947,511438,887387,775776,876304,694838,606803,700474,653459,876072,636092,882027,802424,745728,881563,692677,805759,801330,925384,801505,577791,852191,825439,910528,1197547,836610,1422975,1144319,1862879,1348306,1309996,471954,824260,309810,204965,328921,219016,534874,3227498,474485,544598,425116,631250,636892,367208,528164,547205,467483,601323,634656,431013,614450,683211,397150,547744,715580,552233,544900,784965,484887,610136,517147,801151,757839,885184,486478,558494,852885,831314,732334,740902,764761,777545,588244,926012,678204,697526,556358,728483,506853,461806,762997,611774,667326,473949,815654,653579,563233,975585,666569,806612,525526,681699,732924,455795,780865,616483,605087,770203,822944,742608,639572,672898,646024,700438,808733,826300,776682,749570,738625,829835,827642,932382,591859,740116,657930,627426,1112265,705177,882062,793655,816657,690540,903649,1032645,1191645,735039,742562,1023293,662447,1077371,1079435,743721,751537,964354,788689,951998,1246960,990231,1034688,1146410,925715,757733,1030114,992113,1163650,772832,680229,852584,995754,611691,866234,926460,927708,889936,1032417,905026,984170,681863,655909,819127,1075678,923563,1052146,935390,897620,882769,884912,997142,1108352,992417,841640,1101357,1017661,1076165,1127381,1068486,492025,971329,1066902,1140346,945526,1292938,1315153,1321910,1208692,544833,944903,1022879,1087813,1070630,1393870,806297,953157,1092564,541126,1061148,992953,1616596,935981,1083407,1152475,1073862,1053015,1549716,555676,1182548,1217325,909467,999182,1345457,1358705,1758758,1084639,1283128,1967482,1824762,1552643,1274548,1206213,1535632,2723480,507197,2425086,2632615,2053782,3078321,857806,484283,644945,660226,468323,724413,564220,608493,570505,625012,699221,714188,948423,880040,924021,789029,916297,903646,824567,1316782,914872,1400328,836161,942266,635182,1510027,1235911,2371936,487446,695035,1176981,700233,758207,700739,1087763
"129",129,771825,1059063,1447080,4254987,891394,432583,558898,480801,336993,519872,323211,614418,490064,511631,513959,450314,486879,634741,693545,747486,749954,426328,620168,766746,873499,1022373,676636,492966,494811,481677,667595,665556,603198,547787,501001,618143,768037,515586,890668,779283,879653,697062,609636,702708,657388,883530,638780,886602,811905,749821,885059,695563,809590,804300,927954,804834,581175,863674,828614,916426,1200615,855639,1430175,1148295,1864969,1351832,1313806,476454,827546,310993,205739,331450,220850,536274,3230278,475477,547534,427353,634286,638220,369641,533156,549698,470067,606691,638497,433561,617184,688447,397838,551408,721190,555503,547740,789561,488924,613644,519394,805219,760870,888596,490700,560476,861774,833633,735862,743911,766837,779841,594937,928954,680657,701713,558566,730345,509670,465307,766942,616156,668381,476291,819902,657091,569504,982067,670557,810260,528238,684269,739041,460417,783975,618421,608598,773171,828639,748649,643045,677324,651902,704846,811311,830357,779470,751815,746027,833659,832204,936736,594445,742312,660468,629898,1115526,708134,886110,796566,819698,693253,907653,1036659,1195125,738311,744914,1029315,666806,1083859,1084611,747837,753984,968810,794166,955742,1251554,992647,1042748,1150970,929410,762580,1033857,997100,1167459,776527,683969,855764,1017353,621258,869792,930052,931420,894438,1038293,910914,988249,687504,659901,823489,1086110,928958,1056801,939270,900467,886004,889471,1000151,1110813,995930,847636,1105180,1020030,1079557,1129889,1072023,493835,978537,1072986,1160065,951043,1296094,1319084,1324283,1213324,550157,956902,1028277,1091314,1075154,1397156,808850,1020229,1099252,543474,1063812,996645,1619611,940534,1085292,1157623,1080761,1057659,1553052,559366,1189515,1229803,912879,1003353,1348952,1360958,1764967,1087483,1289897,1969818,1829963,1561387,1279172,1208253,1543680,2757071,508629,2428335,2635342,2058237,3080279,861947,489427,649105,663378,470411,726641,567077,611619,572906,628356,701691,717961,954678,882675,934918,795376,920360,906264,829577,1321222,916849,1404403,839053,946922,638358,1515467,1238456,2375392,490006,698066,1180886,702229,762809,703892,1090459
"130",130,774601,1063551,1451809,4269899,902898,435831,565526,483874,339104,522088,324113,619035,492641,513770,516945,454691,489164,642247,696217,753452,754921,430431,623880,772629,876112,1027343,679685,500633,498647,484054,670555,667996,607277,551106,503419,620579,771957,517075,926873,782439,889807,700034,612059,705197,660414,890749,641058,893044,814776,753701,887880,698716,812088,807885,930653,814752,586109,882841,837126,923471,1202869,879061,1433009,1151431,1866891,1354784,1318234,478533,829871,311794,206659,336608,222753,537505,3234523,476534,549497,429081,637550,639700,371736,537660,552886,472627,620300,642178,434796,620691,695817,398780,554760,724308,557817,550068,793228,495510,616810,522968,808261,763725,893270,499416,564042,865469,835515,738962,748246,776355,783506,598170,933560,682392,703663,561462,732858,513290,467993,771174,621054,669857,477933,823446,660867,581421,987951,677192,813010,531361,686573,742019,463310,786581,622100,610489,776276,833784,751766,647565,680612,654706,709770,814464,833644,783011,756578,750766,836412,836652,940149,597620,749267,663324,633683,1118970,712399,888758,799019,822401,696199,911097,1041501,1198309,742885,751161,1034384,673008,1091955,1088229,751884,757778,971923,796618,959125,1262059,995767,1046143,1157826,933638,768449,1038204,1005758,1171950,779917,689257,859127,1021561,624904,879623,952580,935140,897182,1043371,921075,1003294,692032,663403,829010,1090813,936020,1064960,944278,903452,892947,893728,1003269,1112690,999303,885759,1110204,1022748,1085018,1135064,1076653,495933,983010,1075950,1163745,954381,1298705,1321417,1327051,1216724,556997,963855,1032840,1094991,1078016,1399756,812597,1025062,1107347,547360,1067813,1001658,1623523,946005,1092788,1161085,1082874,1060058,1558804,562544,1192782,1233590,917243,1013649,1351824,1373970,1769525,1095735,1295628,1971770,1835057,1568079,1297381,1215613,1550192,2762143,509693,2433386,2637368,2063053,3082555,865814,492407,656487,666974,472199,729454,569373,613781,574716,633092,704689,721221,957989,886922,940837,800521,924266,908744,839309,1324621,927642,1411672,844191,953075,641922,1517995,1241807,2378296,492262,702297,1185782,711539,768901,709139,1096521
"131",131,778836,1067903,1456758,4312482,905738,437279,567501,487457,340458,525336,324941,626373,495338,514779,519042,456299,496281,644229,699897,762287,758186,432367,625776,774953,881559,1032210,682016,502908,502024,485749,675640,669580,610067,553754,509141,624267,775234,520726,931740,785591,893955,705380,615139,708989,668101,893881,643399,894971,818124,756541,889570,713941,814967,812414,941044,820905,589755,893392,843774,926375,1206189,884856,1436025,1157055,1870216,1359314,1322081,481192,832935,312615,207397,339071,224466,539041,3237750,477434,552268,432070,640786,640468,374553,539516,556692,475756,622995,644744,436076,626360,750085,400366,557960,727445,559756,552516,796566,499260,619689,524989,812865,766326,894953,501824,566097,868574,839659,741368,752726,785364,788137,602327,958174,682961,706596,564134,735465,516622,470777,776031,623838,671566,479963,829527,665121,584300,991040,684911,816709,533934,688851,752229,465082,789499,674088,613228,781910,836097,754823,650414,685468,656686,712852,817158,836840,786067,757977,755857,840018,841127,943252,600152,755881,666556,636394,1122274,715747,892303,802027,828713,699720,916895,1045635,1228429,745315,754401,1038929,677312,1095251,1094471,756618,761588,975049,799335,968458,1266747,998919,1048920,1163722,935413,773180,1043070,1011796,1175674,783650,694451,861831,1026873,627752,886584,965284,937875,900731,1047484,923395,1005911,695536,667405,834949,1097382,939443,1069904,947825,905756,896740,897207,1006018,1114760,1002931,890951,1115101,1025404,1097834,1138576,1080701,498253,997100,1079968,1167809,957912,1301512,1325724,1329718,1223276,558698,970358,1039742,1098075,1082772,1402324,815051,1029370,1112787,550221,1071045,1008265,1626510,949310,1101542,1167033,1085747,1062276,1563980,575443,1196542,1241336,921150,1018158,1353759,1376349,1774049,1097760,1299348,1975051,1837451,1573779,1302581,1219452,1572817,2769056,511334,2438547,2641100,2067468,3086122,869276,495025,661763,669235,474950,733143,571916,616626,576477,637028,805250,723401,963155,889755,945590,803538,927329,911409,849338,1328131,938382,1424708,847599,959396,644452,1521932,1245719,2383080,494495,707042,1194185,715387,771864,714731,1101119
"132",132,786667,1072543,1461717,4411866,908601,441335,569216,491153,341509,527184,325851,632515,497380,515870,525176,459363,501297,651445,702089,768410,762468,436653,634143,782760,885734,1035918,684949,510605,504925,489989,679817,673067,620602,556916,511764,631139,778148,522879,936053,789317,898304,711717,621347,711566,673838,905181,645397,900900,821924,759307,897259,716273,823706,814801,946562,830530,595819,901870,847139,930118,1209826,891131,1438526,1162000,1872343,1376866,1326657,484883,836729,313377,208185,341487,226724,540281,3241320,478484,554409,434900,643744,641364,376472,541868,559816,477555,626723,648920,439549,628866,756397,401451,561208,734933,563574,554996,799394,502347,622638,531019,816543,813243,903180,506334,568949,874517,841947,743685,755783,794405,791473,604915,963784,685436,714435,566791,740690,518769,473714,779647,626164,672791,482418,833390,669306,596240,994951,687410,820691,537630,691727,763296,466849,929019,681748,616584,784761,846123,759728,652735,689665,665902,717999,828308,839788,788815,763309,781099,843461,844613,945777,602813,766347,669940,646187,1126522,720807,897102,805193,831177,702396,919450,1049905,1233245,751519,758057,1043313,683434,1103795,1097518,759066,769430,978119,803355,983370,1274651,1001831,1090196,1177795,950292,779564,1047058,1016972,1179033,787999,700413,870285,1031466,631481,897737,1008340,940246,909577,1053894,927107,1008724,702400,670269,838590,1113198,943020,1075079,950462,909276,920387,900006,1010390,1120545,1009109,893934,1138612,1028217,1101979,1142594,1087650,500693,1022070,1085084,1171384,961611,1305801,1328604,1332350,1226756,564405,973510,1049751,1101607,1086065,1404998,823096,1086154,1117003,625385,1103564,1014983,1633281,952870,1114871,1171872,1088599,1066107,1567380,578538,1200282,1285479,923530,1038318,1356897,1395886,1777961,1108422,1303350,1976913,1847886,1578674,1317349,1223868,1592840,2773431,512621,2442857,2645619,2072579,3087922,873440,511662,665103,672635,478223,741131,573582,620104,580015,639852,807712,728691,967706,893670,954999,806709,931030,914315,860290,1332302,947348,1468268,853081,968539,646712,1527515,1250425,2385960,497846,710865,1201967,722226,789742,719475,1110302
"133",133,790636,1082327,1465647,4430418,911409,443695,571362,493902,342469,528832,327038,636492,501442,518146,529280,461763,503614,653748,703817,771896,764672,439274,637487,786608,889107,1038065,688696,515658,507351,496101,682173,675832,623196,559327,514251,636219,780164,525553,938967,797596,902330,716101,625131,714343,681742,911097,650716,910017,824408,763556,903275,720360,825556,819255,949823,833802,599981,907361,851431,933088,1212416,922992,1442671,1164687,1876541,1383862,1333065,487672,841793,314193,208956,343112,227635,542969,3244322,479866,556179,438906,646710,644244,378345,544356,562651,479610,629339,654986,441460,631258,758704,403092,563312,741697,566969,557740,802881,504639,625135,533741,828470,816762,906729,508382,570647,894077,845301,746819,758598,796980,796442,608783,967711,688073,719323,569126,745115,520868,476566,782920,631222,677128,484424,836319,672999,598499,998591,690671,825325,541173,693381,768241,468778,931897,686216,618770,787993,851151,763381,655746,697904,667929,721543,832565,842258,791968,769060,785617,845603,851383,948233,606522,769674,678684,648842,1130229,724757,902798,809374,833817,705254,923261,1065932,1235277,756803,761881,1046867,685799,1107403,1102918,761474,773690,980858,806378,995862,1279587,1005855,1098191,1186194,954403,784583,1053138,1018808,1182184,790273,704147,872977,1034082,633273,901271,1017740,945094,912014,1058223,930434,1011006,705032,674054,843449,1122885,946198,1079650,953957,912732,926557,904383,1012707,1124802,1013201,901517,1145547,1031546,1105696,1144826,1090588,507911,1027543,1087918,1174328,973781,1308318,1334051,1336141,1230652,567541,977486,1056804,1110206,1089614,1411042,827020,1092534,1124347,631623,1107965,1023149,1636808,960045,1120680,1179707,1090099,1071932,1571268,580845,1204277,1292480,929745,1047733,1359980,1407666,1782388,1111662,1313847,1980139,1852480,1589780,1331941,1227317,1604999,2775671,514421,2445677,2648734,2078108,3090585,876613,514204,668165,675714,479484,744179,575862,622808,582208,642516,809691,731881,971609,912404,959495,810827,933919,919502,864143,1350569,952180,1476627,858033,972347,649967,1530228,1256537,2399816,501991,715704,1206230,725313,792103,721539,1113023
"134",134,797794,1090391,1470303,4465690,914287,444503,573153,497024,343626,531808,328041,640015,505364,520539,533253,463731,506981,662821,706257,773987,766968,441840,644256,790297,890735,1040241,692583,519510,509386,497950,684448,676888,625915,561817,515451,640498,784224,527982,942058,802594,906110,721384,628980,715958,683983,921148,652223,914871,826468,766508,909625,722332,827216,822181,951917,838480,607956,912171,858236,935705,1213531,929946,1444616,1167799,1880789,1392085,1338522,490379,845621,314959,209723,345815,228513,545521,3246359,480783,559380,440480,649981,646020,380353,546636,565461,481457,632484,657480,443417,633443,761361,404539,566103,744306,569136,560740,805767,506524,628167,537278,835112,820320,914217,510025,572625,900629,847755,748363,760087,799279,798746,611690,972162,689868,728258,571014,749982,522743,478684,785737,635272,680150,485719,838950,675187,601899,1001983,692908,830873,544842,694892,774449,471091,1058648,691036,620175,793917,858944,765643,657561,699534,670593,724105,838616,844312,795216,773597,791237,848166,853607,950733,607853,773899,681621,652083,1133169,731793,908014,811007,835721,707325,925944,1070598,1237277,761609,777669,1050231,689981,1110963,1106105,764015,777832,987200,810706,1000401,1283394,1037048,1100824,1190642,957682,787595,1058257,1020576,1185421,791447,707080,879263,1037841,634840,903972,1020932,948928,924294,1061966,933787,1012078,706959,679197,847287,1129549,949053,1082127,957265,916236,932569,907223,1015992,1126966,1016582,905662,1150181,1035050,1114175,1148176,1114559,510771,1029853,1089736,1176297,976707,1310988,1336951,1338720,1234195,569706,980866,1061784,1113705,1130621,1416788,829785,1116055,1127107,635582,1114213,1038620,1640009,964629,1127839,1190440,1091901,1074265,1575708,583825,1271252,1303734,973345,1053417,1360993,1559835,1786166,1115481,1318862,1982259,1856076,1602164,1346806,1230300,1619559,2779311,517189,2449522,2651614,2086448,3093270,879478,517464,670376,678575,480352,749186,577828,626021,584791,644972,812764,734741,974470,915536,966176,814227,935873,921106,866887,1360528,956061,1486814,861961,977515,652038,1533252,1499843,2405249,503983,718856,1210902,727451,794035,723843,1120344
"135",135,800866,1096199,1476362,4490362,917295,445529,575794,500010,345721,534288,329844,642459,510087,523809,536346,465708,509648,664871,708497,776346,769472,444178,646640,797419,910496,1042557,698191,521973,511667,504053,686914,678036,628624,564461,518088,646506,787910,532651,946546,812856,910389,726289,633180,721221,688162,925330,657675,917066,828872,769730,913251,727134,829610,825239,953526,841665,611076,925983,861864,940187,1216644,932974,1459375,1170180,1896572,1396203,1345936,492874,854285,315728,210484,347924,229612,548625,3251826,481752,564732,448696,653632,651748,386264,555124,568880,484690,635220,660352,446121,636146,763460,405459,568864,748608,579172,563252,809513,508657,630731,539643,843654,823453,917328,511615,574873,905669,858227,751852,767534,802518,802793,614796,975485,694147,730987,573350,757273,525393,482036,790296,638178,684462,490096,842791,677964,604773,1008298,697396,935983,552671,696892,778723,473157,1063590,694649,621777,817598,862458,769606,660326,707400,672413,727246,841154,846942,803362,776691,793673,851768,865194,956910,610095,777118,688572,653986,1136538,751225,921493,908024,837489,710418,929292,1092048,1241277,766417,787929,1055646,692800,1115907,1133926,767264,781618,990162,818695,1008138,1285287,1039904,1107556,1194730,959763,790768,1121363,1023245,1189814,794310,710553,883594,1040666,638206,906586,1023772,959938,939184,1066854,947611,1017937,709768,685389,856057,1144181,952848,1087385,970269,937955,936528,910919,1023769,1129346,1018958,910909,1153509,1061407,1117475,1152385,1117653,518629,1031520,1092407,1182809,981182,1313658,1349787,1346177,1237259,571093,985737,1072229,1117951,1136805,1423308,865835,1122349,1129715,761331,1130677,1045442,1642999,976438,1133502,1196327,1095858,1089649,1582613,587215,1281740,1312535,983260,1057484,1364962,1562947,1801695,1118696,1340743,1984098,1858529,1612436,1359246,1233093,1632224,2781927,518661,2458946,2659662,2091262,3096363,882788,519518,672804,683038,482697,753540,581173,631321,590004,649380,815064,737959,989104,919936,970200,819711,938494,928486,871027,1374672,959579,1494762,867491,980379,655640,1535419,1504299,2465511,508503,728870,1214406,734813,799196,726939,1123472
"136",136,806172,1102591,1483787,4509138,920495,446176,578142,504007,346788,537232,330898,646765,514373,527160,540398,468987,512548,667189,710777,783843,774358,446594,650224,803594,917848,1046287,703064,525082,514615,506558,692354,684028,632896,566705,521998,651499,790775,535108,950151,818902,915166,731608,635460,724577,697759,931478,660067,919416,831916,772317,915772,732939,832035,828801,955300,844661,614971,936508,868105,948781,1220231,942281,1465127,1172928,1902279,1402463,1352248,495673,861189,316738,211578,350617,230570,549626,3255139,482618,567693,455128,658065,657635,402977,558420,574242,487332,637915,664176,446747,639062,766775,407108,571352,752578,584082,565548,814181,513952,634445,543177,849458,827022,921810,513232,577546,912309,863723,759998,771006,805961,805689,618679,978711,697402,740984,576678,764655,527920,485871,795833,640472,687331,493387,845961,681377,608245,1011475,701955,942801,557166,699878,782085,474492,1066174,700753,626855,826864,865838,774371,663328,710341,675307,731930,844185,850230,806574,781253,799465,855336,872276,962965,613625,781095,691732,656195,1139465,757687,927350,912169,841034,713108,934633,1100660,1248637,772575,793888,1059897,695269,1123795,1140158,772766,786698,993524,824893,1015002,1287553,1042632,1113791,1205474,961761,795083,1127853,1027573,1194426,798902,714213,889154,1045890,644817,909417,1024844,969386,940869,1075089,951210,1024559,717832,688125,860724,1150333,956516,1091750,978397,941108,942264,1135890,1026802,1131106,1022325,916874,1155557,1065353,1131820,1157293,1125955,524759,1033852,1095702,1189329,992422,1317318,1353470,1349102,1240445,572591,997282,1078363,1121109,1143301,1426250,870130,1128117,1132580,765552,1135240,1051048,1647007,984229,1140414,1201677,1099639,1100698,1588155,600108,1288588,1327311,987078,1061541,1368034,1566995,1807653,1120626,1353860,1987014,1869848,1619577,1375605,1236021,1647511,2786616,520646,2486633,2663013,2095909,3100158,886309,522106,677367,685566,487289,758547,584365,636863,595419,653020,817326,741107,995296,925019,979544,822611,941693,931334,874973,1380597,961677,1497234,872491,984379,658704,1537164,1551745,2481359,516887,737645,1219287,737013,801657,733451,1135872
"137",137,809862,1117887,1490332,4548506,929639,447303,580998,507713,348536,539784,331917,649952,519263,598718,543486,471268,515131,669525,714114,787075,777891,448774,653151,808116,921814,1050438,717053,528897,517272,508365,695894,689035,636308,568769,522787,656410,794836,540968,951934,822470,919909,739643,638676,726710,702180,938441,662925,921575,836580,777101,919209,739176,834613,834169,961060,847554,618464,946674,872051,954448,1223071,945451,1473389,1178167,1907452,1413093,1359426,500844,865501,318506,212371,353013,231767,551690,3259107,485100,570773,464082,664928,666274,404552,560436,578162,489962,640811,669602,447745,645062,768762,408130,576360,755965,589478,570372,817743,517803,638392,547032,852090,831230,925711,514861,580218,916757,869163,762102,775311,811159,808528,624124,983476,701040,743017,580118,766564,530615,490708,804770,644240,688780,498716,854871,685160,611446,1016832,706506,948332,562973,703202,784953,475858,1201270,704799,631465,831336,870485,780506,666803,713594,677352,735627,847068,853090,810125,783460,805500,861591,881830,1025236,620485,784237,694516,658315,1142329,766371,930726,917962,845994,719597,940800,1104937,1253085,778607,796713,1067201,697258,1128059,1146857,776981,791016,996401,831357,1020402,1289736,1047912,1124932,1214554,963628,798891,1132327,1032958,1201240,801146,718602,892580,1047169,647604,914203,1027275,974947,942612,1082779,955738,1026693,728160,699429,868586,1171734,962530,1098278,985809,947036,946444,1141898,1030523,1132943,1024699,919756,1162195,1117794,1147224,1162482,1130780,527745,1036479,1100855,1197521,996982,1350279,1356333,1351341,1245492,574196,1007495,1085716,1127873,1152514,1428614,872876,1134117,1135612,767435,1151660,1054752,1652052,994133,1147558,1208345,1104601,1113364,1592731,602578,1291701,1339666,989174,1064599,1370440,1574565,1812265,1122888,1363210,1993155,1874090,1630671,1383077,1240516,1659289,2789887,521645,2490002,2665939,2100316,3104831,890668,524907,683138,688058,489410,764677,586646,641846,601399,656596,820141,744286,1002407,929504,989177,829497,944969,938094,880671,1385670,963721,1501337,891978,987235,662656,1538572,1557504,2489879,520848,740280,1224230,739038,804459,739068,1139122
"138",138,813792,1123663,1493888,4570753,932551,448871,583126,511050,350644,541880,332887,654322,521740,602925,547167,476868,516948,673397,716489,789674,781710,451490,657479,812179,927929,1054246,720022,533102,519106,509525,700112,692060,639121,571022,526059,660238,797425,547184,956755,825425,925109,744278,641859,729277,706327,948022,665409,925091,840341,780696,922165,744331,840024,836849,963666,855257,621431,950413,875767,957448,1225664,956161,1481089,1180808,1917950,1418519,1364872,503364,868239,320058,213192,354735,232605,552657,3271841,486149,573367,468437,667469,670954,405648,562548,582331,493154,643852,673016,448565,647726,772036,409496,579392,761251,593195,572812,821068,521835,641697,551429,854850,835010,929931,517291,582466,920773,872237,765542,780191,812848,811473,629345,986545,703453,751529,582590,768067,533598,494161,812403,647736,690189,502657,858959,688043,614341,1020941,709334,953106,567596,705423,789501,477414,1204276,707552,636090,835963,874013,788784,668889,716001,679507,737887,852100,855716,813521,785295,812682,864514,890646,1028326,622412,788718,696412,660763,1146281,773181,933230,924195,848282,724666,944347,1107385,1256637,784857,798785,1070911,701145,1135315,1151128,782041,795027,998434,838464,1024382,1295419,1049969,1133041,1219627,967338,805521,1134509,1038656,1205426,808321,722452,898201,1048833,651566,919434,1040467,978760,947366,1086156,959907,1028439,732120,704627,873505,1176981,967898,1105129,992439,949675,951801,1149137,1033282,1134929,1028081,923587,1168660,1120654,1150101,1165552,1134504,529947,1039260,1103434,1204680,1000673,1352919,1359152,1353703,1248259,579338,1015583,1093687,1130810,1159088,1431550,875290,1137208,1140587,769636,1163864,1061583,1658513,1000957,1155987,1214243,1112095,1124523,1603084,616494,1294336,1351799,991360,1069069,1373877,1577191,1816196,1124674,1387210,2001357,1876932,1640557,1395894,1243437,1676103,2793632,523685,2492559,2667882,2104267,3106763,896217,527778,686567,690470,491689,767423,588197,646472,606699,659316,822921,747926,1008663,932419,993633,838135,947208,940291,886075,1391573,968594,1506016,930884,993756,665574,1540628,1562118,2504727,523672,742731,1229286,746211,806831,741548,1155319
"139",139,816616,1132175,1496824,4617041,937640,449767,585891,516119,352384,544184,333847,659179,525038,605550,550371,479971,520015,676523,721625,791951,784825,454134,660199,816547,931770,1064816,723322,536344,520807,510845,702649,694272,641883,579448,528681,665147,801139,549038,959142,829458,928847,747323,652388,734910,713840,954177,667217,927847,843728,783487,926313,752692,844260,838784,968797,859567,623708,962474,878834,960090,1228298,962566,1487206,1183570,1926126,1424553,1416119,505974,871021,321090,214039,355976,233466,553785,3275957,487181,574563,477585,670618,675946,406816,563788,585261,494865,646467,676416,449278,650703,775560,410942,583152,766269,598452,575228,823084,525138,646251,553921,857786,837921,934854,518985,584957,924469,877523,767438,783958,814930,814196,631559,990508,706935,754798,584742,772941,535588,498231,819484,652744,692369,506074,864975,692852,618507,1026433,712104,959098,572218,707359,794197,479366,1207090,712484,639428,839666,878145,797027,671410,718313,683221,744078,857446,857038,817019,788710,821031,867363,897769,1030687,625642,791517,699140,663683,1149921,778159,936174,929284,852210,728750,949120,1110017,1258501,788651,802017,1075533,703721,1139091,1154557,785699,798060,999952,844402,1029446,1300174,1052593,1141173,1227338,970536,809341,1136918,1043825,1209575,811667,726828,900782,1051370,654523,922662,1041939,980476,949416,1090365,961426,1030532,735712,708052,876994,1181181,971936,1110954,999768,953924,954683,1151849,1035636,1137045,1031262,925908,1174451,1126501,1154703,1167516,1137403,531351,1042340,1106791,1214057,1003831,1356218,1362242,1357393,1251459,583190,1019271,1098617,1133895,1164673,1434612,877523,1143994,1144404,773313,1169489,1065549,1661285,1009469,1161650,1223671,1114912,1126526,1611035,619348,1297585,1360525,993921,1075616,1377635,1580175,1821161,1127949,1393755,2002819,1879993,1650986,1405118,1246668,1689215,2797583,525085,2536086,2669978,2110693,3108270,902004,532830,689635,693334,495166,770370,590229,649712,610418,663340,825676,750520,1015956,945320,1000026,843145,950234,941904,890047,1393999,971115,1509916,935488,998220,667746,1542923,1681827,2521943,526984,745826,1234943,751393,809463,745892,1161621
